application_id,subject_id,app_date,region_code,product_code,lender_code,channel,requested_amount,tenor_months,decision
APP00000000,SUBJ000471029,2025-04-06,JATIM,KKB,BNK001,Mobile App,280490000,180,APPROVE
APP00000001,SUBJ000800581,2025-10-12,KALBAR,CC,BNK003,Web,13150000,12,APPROVE
APP00000002,SUBJ000562275,2025-12-11,JABAR,KTA,BNK006,Agent,62260000,3,REVIEW
APP00000003,SUBJ000738797,2025-05-08,PAPUA,KTA,FIN003,Mobile App,64000000,48,REVIEW
APP00000004,SUBJ000475435,2025-03-13,DKI,KTA,BNK005,Partner,79870000,6,APPROVE
APP00000005,SUBJ000179451,2026-01-09,JATIM,KTA,FIN005,Mobile App,85570000,6,REVIEW
APP00000006,SUBJ000813694,2025-09-08,JATIM,KTA,FIN005,Web,35370000,48,REJECT
APP00000007,SUBJ000523481,2025-02-27,JATIM,CC,BNK006,Mobile App,7390000,48,APPROVE
APP00000008,SUBJ000783300,2026-02-10,SULSEL,BNPL,BNK003,Mobile App,2240000,180,APPROVE
APP00000009,SUBJ000049405,2026-03-15,SULSEL,KTA,BNK004,Partner,29680000,120,APPROVE
APP00000010,SUBJ000490785,2025-04-23,JATIM,CC,FIN005,Mobile App,7330000,60,REVIEW
APP00000011,SUBJ000805934,2026-06-26,BANTEN,KKB,BNK001,Web,112070000,180,REVIEW
APP00000012,SUBJ000798975,2025-12-15,JABAR,KPR,FIN002,Branch,705460000,36,REJECT
APP00000013,SUBJ000799550,2025-07-02,SUMSEL,CC,FIN005,Mobile App,19420000,24,APPROVE
APP00000014,SUBJ000974230,2025-06-15,RIAU,FINTECH,FIN003,Partner,9910000,120,APPROVE
APP00000015,SUBJ000509597,2026-01-07,SULSEL,FINTECH,BNK005,Mobile App,5900000,6,APPROVE
APP00000016,SUBJ000553306,2025-03-12,PAPUA,KKB,BNK003,Branch,213080000,180,APPROVE
APP00000017,SUBJ000681446,2026-03-10,SULUT,FINTECH,FIN006,Web,11190000,60,REJECT
APP00000018,SUBJ000241292,2026-01-18,SUMUT,KKB,BNK002,Mobile App,97930000,3,APPROVE
APP00000019,SUBJ000249565,2025-08-14,DKI,BNPL,BNK001,Mobile App,5000000,48,APPROVE
APP00000020,SUBJ000495948,2025-10-13,LAMPUNG,CC,BNK003,Web,24530000,120,APPROVE
APP00000021,SUBJ000677568,2026-02-21,JATIM,CC,FIN001,Mobile App,14630000,3,REVIEW
APP00000022,SUBJ000192401,2025-04-11,DKI,BNPL,BNK002,Mobile App,2000000,120,APPROVE
APP00000023,SUBJ000683823,2025-10-13,SUMUT,FINTECH,BNK002,Mobile App,12850000,180,APPROVE
APP00000024,SUBJ000946279,2025-01-16,SULUT,FINTECH,BNK004,Branch,8640000,24,REJECT
APP00000025,SUBJ000730429,2025-03-02,JATIM,CC,FIN001,Mobile App,22470000,120,APPROVE
APP00000026,SUBJ000612554,2026-05-14,JATIM,KTA,BNK001,Mobile App,57950000,48,APPROVE
APP00000027,SUBJ000071262,2026-05-04,SUMSEL,FINTECH,BNK003,Branch,8890000,12,APPROVE
APP00000028,SUBJ000612024,2025-08-29,SUMUT,MODAL,FIN004,Mobile App,184850000,6,APPROVE
APP00000029,SUBJ000676856,2026-06-20,YOGYA,KTA,FIN005,Web,36710000,60,APPROVE
APP00000030,SUBJ000223508,2025-11-04,SUMUT,FINTECH,BNK002,Branch,10160000,6,APPROVE
APP00000031,SUBJ000569605,2026-06-03,BANTEN,MODAL,BNK002,Agent,137600000,12,APPROVE
